comments,duration,languages,published_date,title,views,funny,informative,unconvincing,confusing,inspiring
4553,1164,60,2006,Do schools kill creativity?,47227110,20.93233883857219,7.827384123601491,0.31965903036760784,0.257858284496537,26.55727224294086
265,977,43,2006,Averting the climate crisis,3200520,18.52861035422343,15.088555858310626,8.787465940054497,2.111716621253406,14.066757493188012
124,1286,26,2006,Simplicity sells,1636292,34.13597733711048,13.987252124645893,3.6827195467422094,0.9560906515580737,8.144475920679886
200,1116,35,2006,Greening the ghetto,1697550,1.582618025751073,10.193133047210301,0.9656652360515022,0.8583690987124464,28.701716738197426
593,1190,48,2006,The best stats you've ever seen,12005869,5.425448868071818,21.20608899297424,0.2615144418423107,0.2810304449648712,11.291959406713504
672,1305,36,2006,Why we do what we do,20685401,7.176348007293567,6.7595728054180775,2.4550664235477986,1.9601458713206565,33.934618390205785
919,992,31,2006,Letting go of God,3769987,41.41380460153384,3.7679226408802933,3.7512504168056013,1.2004001333777925,7.302434144714905
46,1198,19,2006,Behind the design of Seattle's library,967741,0.87890625,11.81640625,2.5390625,2.44140625,17.08984375
852,1485,32,2006,Let's teach religion -- all religion -- in schools,2567958,1.5205271160669032,15.78813988849468,7.17181956411556,1.7739483020780538,11.175874303091739
900,1262,31,2006,A life of purpose,3095993,0.3122373003482647,3.6507745886874026,10.0636483727633,1.3330130899483608,30.695328449621712
79,1414,27,2006,My wish: A call for open-source architecture,1211416,1.0112359550561798,10.50561797752809,1.1797752808988764,0.7865168539325843,34.157303370786515
55,1538,20,2006,My wish: A global day of film,387877,0.8445945945945946,5.574324324324325,2.364864864864865,1.1824324324324325,33.9527027027027
71,1550,24,2006,My wish: Help me stop pandemics,693341,0.33860045146726864,21.21896162528217,0.5643340857787811,0.2257336343115124,27.088036117381492
242,527,27,2006,The radical promise of the multi-touch interface,4531020,1.2504508837321149,5.542864013466394,0.38475411807142,0.22844775760490563,5.663099675363712
99,1057,25,2006,One Laptop per Child,358304,1.792573623559539,13.316261203585148,3.969270166453265,0.7682458386683738,27.656850192061462
325,1481,31,2006,An 11-year-old's magical violin,2702470,3.0453598333066196,0.3526206122776086,0.2404231447347331,0.16028209648982208,14.088796281455362
305,1445,32,2006,"Improvising on piano, aged 14",1628912,0.5129301132720667,0.6839068176960889,1.1327206668091472,0.4701859371660611,11.797392605257533
88,906,27,2006,Simple designs to save a life,1415724,1.174496644295302,15.604026845637584,0.727069351230425,0.39149888143176736,28.803131991051455
163,1170,22,2006,"Organic design, inspired by nature",1074081,2.5375453133091663,3.676851372345935,5.85189021232522,4.142931123770068,18.798549974106677
84,1201,32,2006,The birth of Wikipedia,1106561,1.20942075111394,30.426479949077024,0.8911521323997454,0.8274984086569064,17.63208147676639
108,1114,27,2006,The birth of the open-source learning revolution,966439,1.0195412064570943,27.187765505522517,2.2090059473237043,0.6796941376380629,21.920135938827528
185,1136,26,2006,Nerdcore comedy,6141440,54.202168861347786,1.1812548412083657,2.6529821843532146,3.9310611928737416,3.7955073586367156
50,1006,20,2006,Meet the founder of the blog revolution,518624,13.520408163265307,10.459183673469388,8.545918367346939,5.1020408163265305,10.96938775510204
556,1407,33,2006,"Why we love, why we cheat",9260764,7.235621521335807,24.035250463821892,2.3098330241187384,1.0667903525046383,10.046382189239331
117,1225,23,2006,Happiness in body and soul,1131864,4.2412451361867705,5.992217898832685,1.0505836575875487,0.5058365758754864,30.700389105058367
